date,day_pnl
2025-04-12,-0.012071999999999998
2025-04-14,-0.6416247650676499
2025-04-16,-0.010225180673476865
2025-04-26,1.4696588161445407
2025-05-08,-0.01212063427749755
2025-05-17,0.6268949467709501
2025-05-22,-0.012157742054999657
2025-05-23,-0.9832972493254833
2025-06-04,-0.012097656391719929
2025-06-05,-0.6701844494673991
2025-06-09,-0.012056473843810275
2025-06-12,-0.4178917073471518
2025-06-23,-0.012030522171593587
2025-06-25,-0.5777496253192611
2025-06-26,-0.01199492304189104
2025-06-30,-1.0297937193875155
2025-07-03,-0.011932040679434
2025-07-04,-0.5095481367427955
2025-07-09,-0.011900564135924795
2025-07-19,2.0090901247197164
2025-07-21,-0.012021114497801633
2025-07-23,-0.9617488901030082
2025-07-31,-0.00962618164708819
2025-08-01,-1.1015239929546259
2025-08-08,-0.01189526871578497
2025-08-16,-0.10234111756408623
2025-08-22,-0.011888373407509117
2025-08-26,-0.47527758938560166
2025-08-28,-0.011858968069994922
2025-08-31,-0.5973165437606778
2025-09-08,-0.011822198236100822
2025-09-09,0.16255839046742707
