time,equity,open_positions
2025-09-10 19:12:00.923243+02:00,200.0,0
2025-09-10 19:31:35.182531+02:00,200.0,0
2025-09-10 19:40:44.370701+02:00,200.0,0
2025-09-10 19:43:09.211036+02:00,200.0,0
2025-09-10 21:02:50.914037+02:00,200.0,0
2025-09-10 21:17:55.893831+02:00,200.0,0
2025-09-10 21:33:02.559932+02:00,200.0,0
2025-09-10 21:48:09.151976+02:00,200.0,0
2025-09-10 22:03:14.480438+02:00,200.0,0
2025-09-10 22:18:21.836310+02:00,200.0,0
2025-09-10 22:33:27.580935+02:00,200.0,0
2025-09-10 22:48:33.749695+02:00,200.0,0
2025-09-10 23:03:39.076281+02:00,200.0,0
2025-09-10 23:18:45.006956+02:00,200.0,0
2025-09-10 23:33:50.308722+02:00,200.0,0
2025-09-10 23:48:57.848028+02:00,200.0,0
2025-09-11 00:04:03.204508+02:00,200.0,0
2025-09-11 00:19:08.575139+02:00,200.0,0
2025-09-11 00:34:14.486587+02:00,200.0,0
2025-09-11 00:49:19.743028+02:00,200.0,0
2025-09-11 01:04:26.650588+02:00,200.0,0
2025-09-11 01:19:31.972142+02:00,200.0,0
2025-09-11 01:34:37.294268+02:00,200.0,0
2025-09-11 01:49:43.032411+02:00,200.0,0
2025-09-11 02:04:48.298265+02:00,200.0,0
2025-09-11 02:19:55.188804+02:00,200.0,0
2025-09-11 02:35:02.480077+02:00,200.0,0
2025-09-11 02:50:07.774453+02:00,200.0,0
2025-09-11 03:05:13.623567+02:00,200.0,0
2025-10-21 08:30:41.113432+02:00,996.9486098699142,0
